[2025-11-19 11:00:58] LOAD_PRESET | Key: Preset | Old: None -> New: SCALPER_GOLD
[2025-11-19 11:05:05] LOAD_PRESET | Key: Preset | Old: SCALPER_GOLD -> New: SCALPER_GOLD
[2025-11-19 11:06:52] UPDATE | Key: signal_requirements.strategy_mode_override | Old: AUTO -> New: SNIPER_ONLY
[2025-11-19 11:07:47] LOAD_PRESET | Key: Preset | Old: SCALPER_GOLD -> New: SCALPER_GOLD
[2025-11-19 11:07:52] UPDATE | Key: signal_requirements.strategy_mode_override | Old: AUTO -> New: SNIPER_ONLY
[2025-11-19 11:15:41] LOAD_PRESET | Key: Preset | Old: SCALPER_GOLD -> New: SCALPER_GOLD
[2025-11-19 11:15:47] UPDATE | Key: signal_requirements.strategy_mode_override | Old: AUTO -> New: SNIPER_ONLY
[2025-11-19 11:19:16] UPDATE | Key: signal_requirements.strategy_mode_override | Old: SNIPER_ONLY -> New: AUTO
[2025-11-20 21:53:55] UPDATE | Key: trading.symbol | Old: XAUUSD -> New: XAUUSDM
[2025-11-20 22:03:36] UPDATE | Key: trading.symbol | Old: XAUUSDM -> New: BTCXAUM
[2025-11-20 22:05:01] UPDATE | Key: trading.symbol | Old: BTCXAUM -> New: XAUUSDM
[2025-11-20 22:05:06] UPDATE | Key: trading.symbol | Old: XAUUSDM -> New: BTCXAUM
[2025-11-20 22:11:12] UPDATE | Key: trading.symbol | Old: BTCXAUM -> New: XAUUSDM
[2025-11-20 22:26:00] UPDATE | Key: risk_management.risk_per_trade_pct | Old: 1.5 -> New: 20.0
[2025-11-20 22:26:08] UPDATE | Key: risk_management.max_total_risk_pct | Old: 6.0 -> New: 50.0
[2025-11-20 22:26:15] UPDATE | Key: risk_management.risk_per_trade_pct | Old: 6.0 -> New: 20.0
[2025-11-20 22:26:20] UPDATE | Key: risk_management.enable_margin_filter | Old: True -> New: False
[2025-11-20 22:26:22] UPDATE | Key: risk_management.enable_margin_filter | Old: False -> New: True
[2025-11-20 22:51:52] UPDATE | Key: signal_requirements.strategy_mode_override | Old: AUTO -> New: BREAKOUT_ONLY
[2025-11-20 22:52:16] UPDATE | Key: signal_requirements.strategy_mode_override | Old: BREAKOUT_ONLY -> New: AUTO
[2025-11-21 08:06:12] UPDATE | Key: signal_requirements.strategy_mode_override | Old: AUTO -> New: SNIPER_ONLY
[2025-11-21 08:12:48] UPDATE | Key: signal_requirements.strategy_mode_override | Old: SNIPER_ONLY -> New: AUTO
[2025-11-21 08:13:04] UPDATE | Key: filters.asia_session_mode | Old: DEFENSIVE -> New: AGGRESSIVE
[2025-11-21 08:47:23] UPDATE | Key: signal_requirements.strategy_mode_override | Old: AUTO -> New: BREAKOUT_ONLY
[2025-11-21 08:47:27] UPDATE | Key: signal_requirements.strategy_mode_override | Old: BREAKOUT_ONLY -> New: AUTO
[2025-11-25 04:37:31] UPDATE | Key: signal_requirements.strategy_mode_override | Old: AUTO -> New: TREND
[2025-11-25 04:37:32] UPDATE | Key: signal_requirements.strategy_mode_override | Old: TREND -> New: AUTO
